City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,santa catalina,9.3337,122.8637,299.22,88,83,2.58,PH,1701093972
120,chernyshevsk,52.5243,117.0174,248.29,97,21,1.06,RU,1701093972
121,madras,13.0878,80.2785,301.46,84,75,2.06,IN,1701093829
122,inhambane,-23.865,35.3833,303.15,58,0,9.39,MZ,1701093972
123,hawaiian paradise park,19.5933,-154.9731,294.2,93,75,2.06,US,1701093852
124,lazy,50.35,19.4167,273.47,78,84,1.98,PL,1701093973
125,port macquarie,-31.4333,152.9167,293.65,92,100,1.4,AU,1701093875
126,lihue,21.9789,-159.3672,296.92,85,75,6.17,US,1701093846
127,nova sintra,14.8667,-24.7167,295.31,67,49,5.45,CV,1701093769
128,warrnambool,-38.3833,142.4833,284.72,89,67,4.38,AU,1701093873
129,tofol,5.3248,163.0078,301.68,79,100,8.43,FM,1701093811
130,mount pearl,47.5166,-52.7813,275.9,84,75,2.57,CA,1701093795
131,yuzhno-kurilsk,44.0306,145.8556,276.14,51,97,1.8,RU,1701093974
132,pangai,-19.8,-174.35,299.23,85,17,6.85,TO,1701093974
133,pangkalanbuun,-2.6833,111.6167,297.68,92,96,0.38,ID,1701093974
134,grand falls-windsor,48.9332,-55.6649,275.65,73,11,3.18,CA,1701093974
135,puerto deseado,-47.7503,-65.8938,282.71,72,100,13.49,AR,1701093974
136,el battan,36.8037,9.8442,292.97,37,63,2.75,TN,1701093975
137,saint-pierre,-21.3393,55.4781,299.97,74,75,6.69,RE,1701093889
138,nordwalde,52.0833,7.4833,276.75,98,100,2.06,DE,1701093975
139,dumai,1.6833,101.45,297.41,97,100,1.2,ID,1701093975
140,alexandroupoli,40.8475,25.8744,281.66,39,20,4.63,GR,1701093975
141,constantia,44.1833,28.65,273.54,73,2,8.12,RO,1701093855
142,ribeira grande,38.5167,-28.7,292.37,94,75,4.12,PT,1701093799
143,khandyga,62.6667,135.6,238.4,98,96,0.75,RU,1701093875
144,sayan,-11.1361,-77.1933,296.59,65,98,2.35,PE,1701093976
145,badger,64.8,-147.5333,264.46,87,100,0.0,US,1701093793
146,zuenoula,7.4292,-6.0431,303.21,59,100,0.29,CI,1701093976
147,nadym,65.5333,72.5167,260.52,95,100,3.6,RU,1701093977
148,chonchi,-42.6128,-73.8092,292.1,61,100,1.35,CL,1701093828
149,usogorsk,63.4106,48.6872,263.52,93,100,4.95,RU,1701093785
150,marco island,25.9363,-81.7157,295.37,77,75,4.63,US,1701093977
151,lichinga,-13.3128,35.2406,302.07,47,75,5.36,MZ,1701093977
152,lae,-6.7221,146.9847,298.72,83,61,1.55,PG,1701093978
153,susuman,62.7833,148.1667,254.11,99,100,2.23,RU,1701093813
154,tchollire,8.4022,14.1698,311.7,13,100,1.5,CM,1701093978
155,sucre,-19.0333,-65.2627,290.12,58,83,2.8,BO,1701093907
156,coyhaique,-45.5752,-72.0662,285.49,66,40,3.09,CL,1701093979
157,kapuskasing,49.4169,-82.4331,270.2,86,100,5.66,CA,1701093736
158,ust-nera,64.5667,143.2,245.88,100,99,3.13,RU,1701093842
159,saipan,15.1355,145.701,301.54,78,40,6.69,MP,1701093817
160,kerikeri,-35.2268,173.9474,283.1,88,16,1.74,NZ,1701093787
